,phrase,label,sentiment,subjectivity,language,count,gnd,geonames,geotype,latitude,longitude,continent,country,ipcc
the East Pacific,the East Pacific,LOC,-0.19047619,0.47619048,en,2.10000000,,12212303,L,37.02332,-77.36954,NORTH-AMERICA,United States,ENA
Brevard,Brevard,GPE,-0.11904762,0.23809524,en,2.10000000,,0,,,,,,
Liloan,Liloan,GPE,-0.16166667,0.31166667,en,2.00000000,,0,,,,,,
The National Oceanic,The National Oceanic,LOC,0.21076389,0.39687500,en,2.00000000,,0,,,,,,
CUBA,CUBA,GPE,0.27470238,0.68690476,en,2.00000000,,0,,,,,,
Montego Bay,Montego Bay,LOC,0.06666667,0.37083333,en,2.00000000,,0,,,,,,
Central America,Central America,LOC,-0.07968750,0.33125000,en,2.00000000,,0,,,,,,
Nairobi,Nairobi,GPE,-0.76770833,1.04166667,en,2.00000000,,0,,,,,,
Michigan,Michigan,GPE,0.00000000,0.50000000,en,2.00000000,,0,,,,,,
Atlantic Basin,Atlantic Basin,LOC,0.24114583,0.76458333,en,2.00000000,,0,,,,,,
Miami Hurricanes,Miami Hurricanes,GPE,-0.08750000,0.25000000,en,2.00000000,,0,,,,,,
Kentucky,Kentucky,GPE,-0.07023810,0.40000000,en,2.00000000,,0,,,,,,
Jamaicas,Jamaicas,GPE,-0.09000000,0.35500000,en,2.00000000,,0,,,,,,
Islamabad,Islamabad,GPE,0.10526316,0.53947368,en,1.90000000,,0,,,,,,
Britain,Britain,GPE,0.00000000,0.00000000,en,1.90000000,,0,,,,,,
the Florida Panhandle,the Florida Panhandle,LOC,0.11069340,0.53425230,en,1.90000000,,0,,,,,,
BACOLOD CITY,BACOLOD CITY,GPE,0.21052632,0.52631579,en,1.90000000,,0,,,,,,
the eastern Pacific,the eastern Pacific,LOC,-0.10526316,0.42105263,en,1.90000000,,0,,,,,,
Dungun,Dungun,GPE,0.05263158,0.21052632,en,1.90000000,,0,,,,,,
North America,North America,LOC,-0.09539474,0.58881579,en,1.90000000,,0,,,,,,
Réunion Island,Réunion Island,GPE,0.02236842,0.67236842,en,1.90000000,,935316,T,-21.11429,55.54756,INDIAN,Reunion,SIO
